,0
0,13.037291041577369
1,22.698242606086584
2,26.03643377625375
3,31.991427346763825
4,39.078011144449206
5,45.38662666095156
6,52.09129875696528
7,63.987141020145735
8,65.14702100300043
9,68.06086583797685
10,78.14616373767682
11,90.73510501500215
12,91.17359622803258
13,95.99699957136734
